Name,Model,Price,Dealer,Used,Condition,Mileage,MPG,Body Style,Exterior Color,Interior Color,Transmission,Drive Train,Fuel Type,Engine,Other Features
2011 Volvo,C70 Base," $6,998 ",Zettes Auto Mall,"123,667 mi",USED,"1,23,667",19 City / 28 Hwy,Convertible,Blue,Brown,Automatic,FWD,Gasoline,5 Cyl,"[' 17 Inch Wheels ', ' 3-Point Seat Belts ', ' 4-Wheel Disc Brakes ', ' AM/FM ', ' Adjustable Headrests ', ' Adjustable Steering Wheel ', ' Air Conditioning ', ' Air Filtration ', ' All-Season Tires ', ' Alloy Wheels ', ' Alloy/Leather Shift Knob Trim ', ' Aluminum Interior Accents ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Auto-Dimming Mirror ', ' Aux Audio Adapter ', ' Bluetooth ', ' Body Colored Bumpers ', ' Body Side Moldings ', ' Braking Assist ', ' Bucket Seats ', ' CD (Single Disc) ', ' Center Console ', ' Child Seat Anchors ', ' Color Coded Mirrors ', ' Cruise Control ', ' Cup Holder ', ' Daytime Running Lights ', ' Door Pockets ', ' Driver Adjustable Lumbar ', ' Dual-Stage Front Airbags ', ' Dual-Zone Climate Control ', ' Electronic Brake Force Distribution ', ' Emergency Trunk Release ', ' Engine Immobilizer ', ' Floor Mats ', ' Fog Lights ', ' Front Airbags (Driver) ', ' Front Airbags (Passenger) ', ' Front Bucket Seats ', ' Front Center Armrest ', ' Front Side Airbags (Driver) ', ' Front Side Airbags (Passenger) ', ' Front Ventilated Disc Brakes ', ' Front and Rear Stabilizer Bar ', ' HD Radio ', ' Handsfree/Bluetooth Integration ', ' Hard Top ', ' Heated Mirrors ', ' High Performance Tires ', ' Illuminated Entry ', ' Independent Suspension ', ' Intermittent Wipers ', ' Keyless Entry ', ' Leather Seats ', ' Leather Steering Wheel ', ' Locking Glove Box ', ' MP3 ', ' MacPherson Front Suspension ', ' Memory Mirrors ', ' Multi-Link Suspension ', ' Multi-Zone Climate Control ', ' Pass-Through Rear Seat ', ' Passenger Sensing Airbag ', ' Power Locks ', ' Power Mirrors ', ' Power Outlet ', ' Power Seat (Dual) ', ' Power Steering ', ' Power Windows ', ' Reading Lights ', ' Rear Air Conditioning ', ' Rear Bucket Seats ', ' Rear Headrests ', ' Rear Window Defroster ', ' Remote Trunk Release ', ' Rollover Protection Bars ', ' Satellite Radio ', ' Seat Belt Pretensioners ', ' Seat Belt Warning System ', ' Seat Memory ', ' Side Curtain Airbags ', ' Side Impact Door Beam ', ' Stability Control ', ' Steering Wheel Controls ', ' Tachometer ', ' Thermometer ', ' Tinted Windows ', ' Tire Pressure Monitoring System ', ' Traction Control ', ' Trip Computer ', ' Turn Signal Mirrors ', ' Valet Function ', ' Vanity Mirror/Light ']"
2012 Fiat,500 Lounge," $11,790 ",East Coast Auto Group Inc,"84,340 mi",USED,"84,340",27 City / 32 Hwy,Convertible,White,––,Automatic,FWD,Gasoline,4 Cyl,"[' 15 Inch Wheels ', ' 4-Wheel Disc Brakes ', ' AM/FM ', ' Adjustable Seats ', ' Adjustable Steering Wheel ', ' Air Conditioning ', ' Airbag Deactivation (Passenger) ', ' Alloy Wheels ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Auto Climate Control ', ' Aux Audio Adapter ', ' Black Top ', ' Bluetooth ', ' Body Colored Dash Trim ', ' Body Side Moldings ', ' Bucket Seats ', ' CD (Single Disc) ', ' Cargo Area Light ', ' Child Seat Anchors ', ' Chrome Door Handles ', ' Chrome Shift Knob Trim ', ' Cloth Seats ', ' Cruise Control ', ' Cup Holder ', ' Daytime Running Lights ', ' Digital Info Center ', ' Engine Immobilizer ', ' Floor Mats ', ' Fog Lights ', ' Front Airbags (Driver) ', ' Front Airbags (Passenger) ', ' Front Knee Airbags (Driver) ', ' Front Side Airbags ', ' Front Side Airbags (Driver) ', ' Halogen Headlights ', ' Handsfree/Bluetooth Integration ', ' Head Restraint Whiplash Protection ', ' Heated Mirrors ', ' High Performance Tires ', ' Hill Assist System ', ' Intermittent Wipers ', ' Keyless Entry ', ' Leather Steering Wheel ', ' Locking Glove Box ', ' MP3 ', ' Maintenance Free Battery ', ' Multi-Stage Front Airbags ', ' One-Touch Power Windows ', ' Parking Assist System ', ' Parking Sensors ', ' Pass-Through Rear Seat ', ' Passenger Sensing Airbag ', ' Power Locks ', ' Power Mirrors ', ' Power Outlet ', ' Power Steering ', ' Power Windows ', ' Premium Sound System ', ' Reading Lights ', ' Rear Bench Seat ', ' Rear Head Airbags ', ' Rear Side Airbags ', ' Rear View Camera ', ' Rear Window Defroster ', ' Safety Alert Seat ', ' Satellite Radio ', ' Seat Memory ', ' Side Curtain Airbags ', ' Split/Folding Seats ', ' Spotter Mirrors ', ' Stability Control ', ' Steering Wheel Controls ', ' Tachometer ', ' Tinted Windows ', ' Tire Pressure Monitoring System ', ' Traction Control ', ' Vanity Mirror/Light ']"
2013 Mini,Cooper Convertible Base," $11,995 ",Two Mannys Auto Sales Inc,"114,249 mi",USED,"1,14,249",27 City / 35 Hwy,Convertible,Red,White,Manual,FWD,Gasoline,4 Cyl,"[' Adjustable Headrests ', ' Adjustable Lumbar Support ', ' Air Conditioning ', ' Air Filtration ', ' Ambient Lighting ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Auto-Dimming Mirror ', ' Aux Audio Adapter ', ' Bluetooth ', ' Braking Assist ', ' Cold Weather Package ', ' Color Coded Mirrors ', ' Cruise Control ', ' Daytime Running Lights ', ' Digital Info Center ', ' Door Unlock Impact Sensor ', ' Floor Mats ', ' Folding Mirrors ', ' Front Bucket Seats ', ' Front Crumple Zones ', ' Front Side Airbags ', ' Fuel Cut-Off Impact Sensor ', ' Heated Mirrors ', ' Heated Seats ', ' Intermittent Wipers ', ' Keyless Ignition ', ' LED Tail Lights ', ' Leather Trimmed Seats ', ' Power Locks ', ' Power Mirrors ', ' Power Seat (Driver) ', ' Power Steering ', ' Power Top ', ' Power Windows ', ' Rear Bench Seat ', ' Rear Crumple Zones ', ' Rear Window Defroster ', ' Rollover Protection Bars ', ' Split/Folding Seats ', ' Sport Seats ', ' Stability Control ', ' Sunroof ', ' USB Audio Interface ', ' iPhone Adapter ', ' iPod Adapter ']"
2012 Fiat,500 Pop," $12,990 ",Carvana Newark,"92,286 mi",USED,"92,286",27 City / 32 Hwy,Convertible,White,Red,Manual,FWD,Gasoline,4 Cyl,"[' Bluetooth ', ' Bose Sound System ', ' Power Windows ']"
2011 Audi,A5 2.0T Premium," $13,779 ",Bell Audi,"62,994 mi",USED,"62,994",21 City / 29 Hwy,Convertible,Black,Tan,Automatic,AWD,Gasoline,4 Cyl,"[' Adjustable Steering Wheel ', ' Air Conditioning ', ' Anti-Theft System ', ' Bluetooth ', ' CD (Single Disc) ', ' Cruise Control ', ' DVD ', ' Door Bin ', ' Handsfree/Bluetooth Integration ', ' Heated Seats ', ' Illuminated Entry ', ' Integrated Garage Door Opener ', ' Keyless Entry ', ' Leather Seats ', ' Leather Shift Knob Trim ', ' Multi-Zone Climate Control ', ' Power Locks ', ' Power Windows ', ' Premium Sound System ', ' Premium Wheels ', ' Reading Lights ', ' Rear View Camera ', ' Rear-View Camera ', ' Steering Wheel Controls ', ' Sun/Moonroof ', ' Sunroof ', ' Vanity Mirror/Light ', ' Wood Trimmed Interior ']"
2013 Fiat,500 Abarth," $13,990 ",Prime Auto Imports LLC,"84,294 mi",USED,"84,294",28 City / 34 Hwy,Convertible,Black,Black,Manual,FWD,Gasoline,4 Cyl,"[' 16 Inch Wheels ', ' 4-Wheel Disc Brakes ', ' AM/FM ', ' Adjustable Seats ', ' Adjustable Steering Wheel ', ' Air Conditioning ', ' Air Filtration ', ' Airbag Deactivation (Passenger) ', ' Alloy Wheels ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Aux Audio Adapter ', ' Black Top ', ' Bluetooth ', ' Body Colored Dash Trim ', ' Body Side Moldings ', ' Bucket Seats ', ' CD (Single Disc) ', ' Cargo Area Light ', ' Child Seat Anchors ', ' Chrome Door Handles ', ' Cloth Seats ', ' Color Coded Mirrors ', ' Cruise Control ', ' Cup Holder ', ' Daytime Running Lights ', ' Digital Info Center ', ' Driver Seat Mounted Armrest ', ' Dual Exhaust ', ' Engine Immobilizer ', ' Floor Mats ', ' Fog Lights ', ' Front Airbags (Driver) ', ' Front Airbags (Passenger) ', ' Front Knee Airbags (Driver) ', ' Front Side Airbags ', ' Front Side Airbags (Driver) ', ' Halogen Headlights ', ' Handsfree/Bluetooth Integration ', ' Heated Mirrors ', ' High Performance Tires ', ' Hill Assist System ', ' Intermittent Wipers ', ' Keyless Entry ', ' Leather Dash Trim ', ' Leather Shift Knob Trim ', ' Leather Steering Wheel ', ' Locking Glove Box ', ' MP3 ', ' Maintenance Free Battery ', ' Multi-Stage Front Airbags ', ' One-Touch Power Windows ', ' Parking Assist System ', ' Parking Sensors ', ' Pass-Through Rear Seat ', ' Passenger Sensing Airbag ', ' Performance Suspension ', ' Power Locks ', ' Power Mirrors ', ' Power Outlet ', ' Power Steering ', ' Power Windows ', ' Premium Sound System ', ' Reading Lights ', ' Rear Bench Seat ', ' Rear Head Airbags ', ' Rear Side Airbags ', ' Rear View Camera ', ' Rear Window Defroster ', ' Safety Alert Seat ', ' Seat Memory ', ' Side Curtain Airbags ', ' Split/Folding Seats ', ' Spotter Mirrors ', ' Stability Control ', ' Steering Wheel Controls ', ' Tachometer ', ' Tinted Windows ', ' Tire Pressure Monitoring System ', ' Traction Control ', ' Turbocharger ', ' Vanity Mirror/Light ']"
2012 Audi,A5 2.0T Premium Plus," $13,995 ",Aw Auto and Truck Wholesalers,"95,800 mi",USED,"95,800",21 City / 29 Hwy,Convertible,Black,Black,Automatic,AWD,Gasoline,4 Cyl,"[' 18 Inch Wheels ', ' 4-Wheel Disc Brakes ', ' AM/FM ', ' Adjustable Headrests ', ' Adjustable Seats ', ' Adjustable Steering Wheel ', ' Air Conditioning ', ' All-Season Tires ', ' Alloy Wheels ', ' Aluminum Door Trim ', ' Ambient Lighting ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Armrest ', ' Auto Climate Control ', ' Auto-Dimming Mirror ', ' Automatic Headlights ', ' Aux Audio Adapter ', ' Bluetooth ', ' Braking Assist ', ' Bucket Seats ', ' CD (Single Disc) ', ' Center Console ', ' Cigarette Lighter ', ' Clock ', ' Compact Spare Tire ', ' Compass ', ' Cruise Control ', ' Cup Holder ', ' Daytime Running Lights ', ' Driver Adjustable Lumbar ', ' Dual Exhaust ', ' Electric Parking Brake ', ' Emergency Trunk Release ', ' Engine Immobilizer ', ' Floor Mats ', ' Fog Lights ', ' Front Airbags (Driver) ', ' Front Airbags (Passenger) ', ' Front Knee Airbags (Driver) ', ' Front Side Airbags (Driver) ', ' Front Ventilated Disc Brakes ', ' Front and Rear Stabilizer Bar ', ' Handsfree/Bluetooth Integration ', ' Heated Mirrors ', ' Heated Seats ', ' High Intensity Discharge Headlights ', ' High Performance Tires ', ' Integrated Garage Door Opener ', ' Keyless Entry ', ' LED Tail Lights ', ' Leather Seats ', ' Leather Steering Wheel ', ' Locking Differential ', ' Locking Glove Box ', ' MP3 ', ' Memorized Settings ', ' Memory Mirrors ', ' Multi-Link Suspension ', ' Multi-Zone Climate Control ', ' One-Touch Power Windows ', ' Overhead Console ', ' Pass-Through Rear Seat ', ' Passenger Sensing Airbag ', ' Power Doors ', ' Power Locks ', ' Power Mirrors ', ' Power Outlet ', ' Power Seat (Driver) ', ' Power Seat (Passenger) ', ' Power Steering ', ' Power Top ', ' Power Windows ', ' Premium Sound System ', ' Rain-Sensing Wipers ', ' Reading Lights ', ' Rear Air Conditioning ', ' Rear Bench Seat ', ' Rear Window Defroster ', ' Remote Trunk Release ', ' Satellite Radio ', ' Seat Memory ', ' Speed-Sensing Steering ', ' Split/Folding Seats ', ' Sport Steering Wheel ', ' Stability Control ', ' Steering Wheel Controls ', ' Tachometer ', ' Three-Zone Climate Control ', ' Tire Pressure Monitoring System ', ' Traction Control ', ' Trip Odometer ', ' Turn Signal Mirrors ', ' Valet Function ', ' Vanity Mirror/Light ', ' Wind Deflector ', ' Windshield Wiper Heater ']"
2014 Fiat,500C GQ Edition," $14,785 ",Motorhub Inc,"46,776 mi",USED,"46,776",––,Convertible,White,Black,Manual,FWD,Gasoline,4 Cyl,"[' 2-Stage Unlocking ', ' 3-Point Seat Belts ', ' 4-Wheel Disc Brakes ', ' 6 Speakers ', ' AM/FM ', ' Adjustable Headrests ', ' Adjustable Seats ', ' Adjustable Steering Wheel ', ' Air Conditioning ', ' Air Filtration ', ' Airbag Deactivation (Passenger) ', ' Airbags ', ' All-Season Tires ', ' Ambient Lighting ', ' Antenna ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Auto Climate Control ', ' Automatic Headlights ', ' Aux Audio Adapter ', ' Bench Seat ', ' Black Grille ', ' Bluetooth ', ' Body Colored Bumpers ', ' Braking Assist ', ' CD (Single Disc) ', ' Cargo Area Light ', ' Center Console ', ' Child Seat Anchors ', ' Chrome Door Handles ', ' Chrome Shift Knob Trim ', ' Chrome Trimmed Interior ', ' Clock ', ' Cloth Door Trim ', ' Color Coded Mirrors ', ' Cruise Control ', ' Cup Holder ', ' Digital Info Center ', ' Door Pockets ', ' Dual Exhaust ', ' Electronic Brake Force Distribution ', ' Engine Immobilizer ', ' Floor Mats ', ' Fog Lights ', ' Front Airbags (Driver) ', ' Front Airbags (Passenger) ', ' Front Bucket Seats ', ' Front Center Armrest ', ' Front Crumple Zones ', ' Front Knee Airbags (Driver) ', ' Front Knee Airbags (Passenger) ', ' Front Side Airbags ', ' Front Side Airbags (Driver) ', ' Front Stabilizer Bar ', ' Fuel Data Display ', ' Halogen Headlights ', ' Handsfree/Bluetooth Integration ', ' Heated Mirrors ', ' Hill Assist System ', ' Independent Suspension ', ' Intermittent Wipers ', ' Keyless Entry ', ' Leather Seats ', ' Leather Shift Knob Trim ', ' Leather Steering Wheel ', ' Leather Trimmed Seats ', ' Low Fuel Level Indicator ', ' MP3 ', ' MacPherson Front Suspension ', ' Maintenance Free Battery ', ' One-Touch Power Windows ', ' Passenger Sensing Airbag ', ' Performance Suspension ', ' Post-Collision Safety System ', ' Power Locks ', ' Power Mirrors ', ' Power Outlet ', ' Power Steering ', ' Power Top ', ' Power Windows ', ' Premium Sound System ', ' Radio Data System ', ' Reading Lights ', ' Rear Headrests ', ' Rear Stabilizer Bar ', ' Rear Window Defroster ', ' Rear Window Wiper ', ' Remote Trunk Release ', ' Retained Accessory Power ', ' Rollover Protection Bars ', ' Seat Belt Pretensioners ', ' Seat Belt Warning System ', ' Side Curtain Airbags w/Rollover Sensor ', ' Side Impact Door Beam ', ' Split/Folding Seats ', ' Spoiler ', ' Sport Seats ', ' Spotter Mirrors ', ' Stability Control ', ' Steering Wheel Controls ', ' Tachometer ', ' Thermometer ', ' Tinted Windows ', ' Tire Pressure Monitoring System ', ' Torsion Bar Suspension ', ' Traction Control ', ' Trip Odometer ', ' Turbocharger ', ' Vanity Mirror/Light ', ' Window Lockout Button ']"
2014 Fiat,500C GQ Edition," $15,497 ",Northway Automotive Inc,"44,929 mi",USED,"44,929",––,Convertible,Silver,Black,Manual,FWD,Gasoline,4 Cyl,"[' 4-Wheel Disc Brakes ', ' Airbags ', ' Anti-Lock Brakes ', ' Bluetooth ', ' Center Console ', ' Comfort Package ', ' Convenience Package ', ' Halogen Headlights ', ' Handsfree/Bluetooth Integration ', ' Heated Seats ', ' Hill Assist System ', ' Leather Seats ', ' Leather Trimmed Seats ', ' Performance Suspension ', ' Power Outlet ', ' Power Windows ', ' Premium Sound System ', ' Rear View Camera ', ' Sport Seats ', ' Stability Control ', ' Traction Control ', ' Turbocharger ']"
2012 BMW,1 Series 128i," $15,499 ",Axis Motorcars,"51,083 mi",USED,"51,083",18 City / 28 Hwy,Convertible,Blue,White,Automatic,RWD,Gasoline,6 Cyl,"[' 4-Wheel Disc Brakes ', ' 4-Wheel Independent Suspension ', ' 8 Speakers ', ' AM/FM ', ' Adjustable Lumbar Support ', ' Adjustable Steering Wheel ', ' Air Conditioning ', ' Alloy Wheels ', ' Ambient Lighting ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Armrest Storage ', ' Auto Climate Control ', ' Auto-Dimming Mirror ', ' Automatic Headlights ', ' BMW Assist ', ' Bluetooth ', ' Body Colored Bumpers ', ' Braking Assist ', ' CD (Single Disc) ', ' Compass ', ' Cruise Control ', ' Cup Holder ', ' Delay-Off Headlights ', ' Door Bin ', ' Dual-Zone Climate Control ', ' Fog Lights ', ' Folding Mirrors ', ' Front Airbags (Driver) ', ' Front Airbags (Passenger) ', ' Front Anti-Roll Bar ', ' Front Bucket Seats ', ' Front Center Armrest ', ' Front Knee Airbags (Driver) ', ' Front Side Airbags (Driver) ', ' Front Side Airbags (Passenger) ', ' GPS Navigation ', ' HD Radio ', ' Handsfree/Bluetooth Integration ', ' Head Restraint Whiplash Protection ', ' Heated Mirrors ', ' Illuminated Entry ', ' Independent Suspension ', ' Integrated Garage Door Opener ', ' Keyless Entry ', ' Leather Seats ', ' Leather Shift Knob Trim ', ' Leatherette Seats ', ' MP3 ', ' Navigation System ', ' Passenger Sensing Airbag ', ' Power Mirrors ', ' Power Seat (Dual) ', ' Power Steering ', ' Power Top ', ' Power Windows ', ' Radio Data System ', ' Rain-Sensing Wipers ', ' Reading Lights ', ' Real-Time Traffic ', ' Rear Air Conditioning ', ' Rear Anti-Roll Bar ', ' Rear Center Armrest ', ' Rear Window Defroster ', ' Rollover Protection Bars ', ' Satellite Radio ', ' Seat Memory ', ' Speed-Sensing Steering ', ' Sport Steering Wheel ', ' Stability Control ', ' Steering Wheel Controls ', ' Tachometer ', ' Thermometer ', ' Tire Pressure Monitoring System ', ' Traction Control ', ' Trip Computer ', ' USB Adapter ', ' Vanity Mirror/Light ', ' Voice-Activated Command System ', ' Wood Trimmed Interior ']"
